Fe,Co,Cr,Mo,Mn,Nb,Sn,Ni,Zr,Cu,Al,LREE,Pb,Ti,HREE,Be,Mg,C,B,P,G(Gpa)
60.5,0,4,14,0,0,0,0,0,0,0,0,0,0,0.5,0,0,15,6,0,76.6
60,0,10,9,0,0,0,0,0,0,0,0,0,0,2,0,0,13,6,0,79.2
63,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,65.3
63,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,68.8
63,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,65.2
63,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,15,6,0,77.8
64,0,10,9,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,88.2
64,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,66
65,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,66.8
65,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,73
66,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,66.5
66,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12,66.1
68,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6,67.6
68,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,2.5,12.5,57.9
70,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,2.5,12.5,57.3
71,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,73.4
74.5,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5,12.5,56.9
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,61
0,20,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,23.5
0,20,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,23.5
0,20,0,0,0,1,0,0,4,0,24,0,0,0,51,0,0,0,0,0,23.3
0,20,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,25.9
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,26.2
0,22,0,0,0,0,0,0,0,0,22,0,0,0,56,0,0,0,0,0,25.3
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,25.4
0,20,0,0,0,0,0,0,0,0,25,55,0,0,0,0,0,0,0,0,15.4
